Reading benchmark file: ./data/c1908.bench
Benchmark Name: c1908
INPUT: 33
NOT: 277
BUFFER: 162
AND: 63
NAND: 377
NOR: 1
STEM: 995
Total Gates: 1908


Starting ATPG using PODEM ...

Current Fault: 1/SA1...........................Tested (0.00929834 s)
Current Fault: 1/SA0...........................Tested (0.00920643 s)
Current Fault: 4/SA1...........................Tested (0.00922147 s)
Current Fault: 4/SA0...........................Tested (0.00919328 s)
Current Fault: 7/SA1...........................Tested (0.00325865 s)
Current Fault: 7/SA0...........................Tested (0.00323793 s)
Current Fault: 10/SA1..........................Tested (0.00914582 s)
Current Fault: 10/SA0..........................Tested (0.00918665 s)
Current Fault: 13/SA1..........................Tested (0.00108942 s)
Current Fault: 13/SA0..........................Tested (0.00110779 s)
Current Fault: 16/SA1..........................Tested (0.00908381 s)
Current Fault: 16/SA0..........................Tested (0.00913605 s)
Current Fault: 19/SA1..........................Tested (0.00400391 s)
Current Fault: 19/SA0..........................Tested (0.00395899 s)
Current Fault: 22/SA1..........................Tested (0.00683894 s)
Current Fault: 22/SA0..........................Tested (0.00685771 s)
Current Fault: 25/SA1..........................Tested (0.00109335 s)
Current Fault: 25/SA0..........................Tested (0.00108958 s)
Current Fault: 28/SA1..........................Tested (0.0091577 s)
Current Fault: 28/SA0..........................Tested (0.00911459 s)
Current Fault: 31/SA1..........................Tested (0.0080617 s)
Current Fault: 31/SA0..........................Tested (0.00781099 s)
Current Fault: 34/SA1..........................Tested (0.00825454 s)
Current Fault: 34/SA0..........................Tested (0.00777043 s)
Current Fault: 37/SA1..........................Tested (0.00778339 s)
Current Fault: 37/SA0..........................Tested (0.00774941 s)
Current Fault: 40/SA1..........................Tested (0.00109523 s)
Current Fault: 40/SA0..........................Tested (0.00111548 s)
Current Fault: 43/SA1..........................Tested (0.00438091 s)
Current Fault: 43/SA0..........................Tested (0.00436718 s)
Current Fault: 46/SA1..........................Tested (0.00927794 s)
Current Fault: 46/SA0..........................Tested (0.00921086 s)
Current Fault: 49/SA1..........................Tested (0.00724918 s)
Current Fault: 49/SA0..........................Tested (0.00727895 s)
Current Fault: 53/SA1..........................Tested (0.0113045 s)
