NAME,FVAL,1,4,7,10,13,16,19,22,25,28,31,34,37,40,43,46,49,53,56,60,63,66,69,72,76,79,82,85,88,91,94,99,104
550,SA0,1,1,0,1,1,1,1,0,1,1,X,X,X,X,1,0,0,X,X,X,0,X,X,X,X,X,X,X,X,X,X,1,X
592,SA1,0,X,X,X,1,1,0,X,X,1,1,1,0,X,1,1,0,X,X,X,X,X,X,X,X,0,X,X,X,X,X,1,X
910,SA1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,X,X,0,1,0
910,SA0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,X,X,0,1,0
922,SA0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,X,1,0,0,X
1315,SA1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,X,X,0,1,0
1481,SA0,X,X,1,X,X,1,X,0,X,1,X,1,X,X,0,X,X,X,0,X,X,X,X,X,X,X,X,0,X,X,X,1,X
2241,SA0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,X,X,0,1,0
2627,SA1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,X,X,0,1,0
2669,SA0,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X
2750,SA1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,X,0,1,1,1
2871,SA0,1,1,1,1,1,1,1,0,X,X,X,X,X,X,X,X,X,1,X,X,1,X,X,1,X,X,X,X,1,X,X,X,X
2745,SA0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,X,X,0,1,0
2756,SA1,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,1,X,X,X,X,X,1,X,X,X,X,X,X,X,X,X
2890,SA0,X,X,X,1,X,X,1,X,1,0,X,X,1,1,X,1,X,X,0,1,X,X,1,X,X,X,X,X,X,X,X,1,0
