NAME,FVAL,1,18,35,52,69,86,103,120,137,154,171,188,205,222,239,256,273,290,307,324,341,358,375,392,409,426,443,460,477,494,511,528
1508,SA1,1,0,1,X,X,X,X,X,X,X,X,X,X,X,X,X,1,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X
1606,SA0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,X,X,1,0,1,1,0,1,1,1,1,0,0,1,1,X,X,X
1783,SA0,0,0,0,0,0,0,1,0,0,0,0,1,X,X,X,X,0,1,1,0,0,0,0,X,X,X,X,X,X,X,X,X
1831,SA1,1,1,0,0,1,X,X,X,X,X,X,X,X,X,X,X,1,1,1,1,0,X,X,X,X,X,X,X,X,X,X,X
2765,SA1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,X,X,1,1,1,1,1,1,0,0,1,1,0,1,1,X,X,X
3568,SA0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
5081,SA0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
5923,SA1,X,X,X,X,X,X,X,X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6180,SA0,X,X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6287,SA1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,0,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
