Reading benchmark file: ./data/s35932.bench
Benchmark Name: s35932
INPUT: 1763
NOT: 3861
AND: 4032
NAND: 7020
OR: 1152
DFF: 1728
STEM: 17432
Total Gates: 36988


Starting ATPG using PODEM ...

Current Fault: DATA_0_31/SA1...................Tested (0.0915984 s)
Current Fault: DATA_0_31/SA0...................Tested (0.0982108 s)
Current Fault: DATA_0_30/SA1...................Tested (0.0894687 s)
Current Fault: DATA_0_30/SA0...................Tested (0.0916169 s)
Current Fault: DATA_0_29/SA1...................Tested (0.0929449 s)
Current Fault: DATA_0_29/SA0...................Tested (0.0889239 s)
Current Fault: DATA_0_28/SA1...................Tested (0.0925012 s)
Current Fault: DATA_0_28/SA0...................Tested (0.0986033 s)
Current Fault: DATA_0_27/SA1...................Tested (0.0887257 s)
Current Fault: DATA_0_27/SA0...................Tested (0.0997047 s)
Current Fault: DATA_0_26/SA1...................Tested (0.0945139 s)
Current Fault: DATA_0_26/SA0...................Tested (0.0882742 s)
Current Fault: DATA_0_25/SA1...................Tested (0.0909632 s)
Current Fault: DATA_0_25/SA0...................Tested (0.0930008 s)
Current Fault: DATA_0_24/SA1...................Tested (0.0943491 s)
Current Fault: DATA_0_24/SA0...................Tested (0.0904056 s)
Current Fault: DATA_0_23/SA1...................Tested (0.0919713 s)
Current Fault: DATA_0_23/SA0...................Tested (0.0926809 s)
Current Fault: DATA_0_22/SA1...................Tested (0.0897948 s)
Current Fault: DATA_0_22/SA0...................Tested (0.0921434 s)
Current Fault: DATA_0_21/SA1...................Tested (0.097936 s)
Current Fault: DATA_0_21/SA0...................Tested (0.089071 s)
Current Fault: DATA_0_20/SA1...................Tested (0.0923658 s)
Current Fault: DATA_0_20/SA0...................Tested (0.0937377 s)
Current Fault: DATA_0_19/SA1...................Tested (0.0882168 s)
Current Fault: DATA_0_19/SA0...................Tested (0.0918666 s)
Current Fault: DATA_0_18/SA1...................Tested (0.0944942 s)
Current Fault: DATA_0_18/SA0...................Tested (0.0874236 s)
Current Fault: DATA_0_17/SA1...................Tested (0.0857687 s)
Current Fault: DATA_0_17/SA0...................Tested (0.091773 s)
Current Fault: DATA_0_16/SA1...................Tested (0.0875762 s)
Current Fault: DATA_0_16/SA0...................Tested (0.0785104 s)
Current Fault: DATA_0_15/SA1...................Tested (0.0848252 s)
Current Fault: DATA_0_15/SA0...................Tested (0.0869568 s)
Current Fault: DATA_0_14/SA1...................Tested (0.0842394 s)
Current Fault: DATA_0_14/SA0...................Tested (0.0793836 s)
Current Fault: DATA_0_13/SA1...................Tested (0.0891617 s)
Current Fault: DATA_0_13/SA0...................Tested (0.0941168 s)
Current Fault: DATA_0_12/SA1...................Tested (0.0882546 s)
Current Fault: DATA_0_12/SA0...................Tested (0.0933376 s)
Current Fault: DATA_0_11/SA1...................Tested (0.0960782 s)
Current Fault: DATA_0_11/SA0...................Tested (0.0931075 s)
Current Fault: DATA_0_10/SA1...................Tested (0.101941 s)
Current Fault: DATA_0_10/SA0...................Tested (0.0949418 s)
Current Fault: DATA_0_9/SA1....................Tested (0.0899969 s)
Current Fault: DATA_0_9/SA0....................Tested (0.0914861 s)
Current Fault: DATA_0_8/SA1....................Tested (0.100967 s)
