Reading benchmark file: ./data/s38584.bench
Benchmark Name: s38584.1
INPUT: 1464
NOT: 7805
AND: 5516
NAND: 2126
OR: 2621
NOR: 1185
DFF: 1426
STEM: 17715
Total Gates: 39858


Starting ATPG using PODEM ...

Current Fault: g35/SA1.........................Tested (0.47248 s)
Current Fault: g35/SA0.........................Tested (0.493467 s)
Current Fault: g36/SA1.........................Tested (0.046505 s)
Current Fault: g36/SA0.........................Tested (0.042344 s)
Current Fault: g6744/SA1.......................Tested (0.0489809 s)
Current Fault: g6744/SA0.......................Tested (0.0437487 s)
Current Fault: g6745/SA1.......................Tested (0.0449832 s)
Current Fault: g6745/SA0.......................Tested (0.0476485 s)
Current Fault: g6746/SA1.......................Tested (0.0502226 s)
Current Fault: g6746/SA0.......................Tested (0.0436228 s)
Current Fault: g6747/SA1.......................Tested (0.0504025 s)
Current Fault: g6747/SA0.......................Tested (0.0450572 s)
Current Fault: g6748/SA1.......................Tested (0.0521877 s)
Current Fault: g6748/SA0.......................Tested (0.0450555 s)
Current Fault: g6749/SA1.......................Tested (0.0534795 s)
Current Fault: g6749/SA0.......................Tested (0.0494917 s)
Current Fault: g6750/SA1.......................Tested (0.0487859 s)
Current Fault: g6750/SA0.......................Tested (0.0430414 s)
Current Fault: g6751/SA1.......................Tested (0.0482563 s)
Current Fault: g6751/SA0.......................Tested (0.0465436 s)
Current Fault: g6752/SA1.......................Tested (0.0479184 s)
Current Fault: g6752/SA0.......................Tested (0.0506497 s)
Current Fault: g6753/SA1.......................Tested (0.053315 s)
Current Fault: g6753/SA0.......................Tested (0.0528295 s)
Current Fault: g84/SA1.........................Tested (0.0366592 s)
Current Fault: g84/SA0.........................Tested (0.0362695 s)
Current Fault: g120/SA1........................Tested (0.0369398 s)
Current Fault: g120/SA0........................Tested (0.0378784 s)
Current Fault: g5/SA1..........................Tested (0.0401517 s)
Current Fault: g5/SA0..........................Tested (0.0451993 s)
Current Fault: g113/SA1........................Tested (0.0407723 s)
Current Fault: g113/SA0........................Tested (0.0378694 s)
Current Fault: g126/SA1........................Tested (0.036747 s)
Current Fault: g126/SA0........................Tested (0.0364676 s)
Current Fault: g99/SA1.........................Tested (0.0379438 s)
Current Fault: g99/SA0.........................Tested (0.0378195 s)
Current Fault: g53/SA1.........................Tested (0.0365573 s)
Current Fault: g53/SA0.........................Tested (0.0374167 s)
Current Fault: g116/SA1........................Tested (0.0404914 s)
Current Fault: g116/SA0........................Tested (0.0407426 s)
Current Fault: g92/SA1.........................Tested (0.0397807 s)
Current Fault: g92/SA0.........................Tested (0.0436377 s)
Current Fault: g56/SA1.........................Tested (0.0398376 s)
Current Fault: g56/SA0.........................Tested (0.0383319 s)
Current Fault: g91/SA1.........................Tested (0.0370651 s)
Current Fault: g91/SA0.........................Tested (0.0396266 s)
Current Fault: g44/SA1.........................Tested (0.0478749 s)
Current Fault: g44/SA0.........................Tested (0.0370524 s)
Current Fault: g57/SA1.........................Tested (0.0363022 s)
Current Fault: g57/SA0.........................Tested (0.0366309 s)
Current Fault: g100/SA1........................Tested (0.0373533 s)
Current Fault: g100/SA0........................Tested (0.0384594 s)
Current Fault: g54/SA1.........................Tested (0.0376428 s)
Current Fault: g54/SA0.........................Tested (0.0412889 s)
Current Fault: g124/SA1........................Tested (0.0381197 s)
Current Fault: g124/SA0........................Tested (0.0388937 s)
Current Fault: g125/SA1........................Tested (0.0410104 s)
Current Fault: g125/SA0........................Tested (0.0370572 s)
Current Fault: g114/SA1........................Tested (0.0377855 s)
Current Fault: g114/SA0........................Tested (0.0382065 s)
Current Fault: g134/SA1........................Tested (0.0379198 s)
Current Fault: g134/SA0........................Tested (0.0436189 s)
Current Fault: g72/SA1.........................Tested (0.038872 s)
Current Fault: g72/SA0.........................Tested (0.0366826 s)
Current Fault: g115/SA1........................Tested (0.0354656 s)
Current Fault: g115/SA0........................Tested (0.0360939 s)
Current Fault: g135/SA1........................Tested (0.0372601 s)
Current Fault: g135/SA0........................Tested (0.0363522 s)
Current Fault: g90/SA1.........................Tested (0.0369788 s)
Current Fault: g90/SA0.........................Tested (0.0388587 s)
Current Fault: g127/SA1........................Tested (0.0345997 s)
Current Fault: g127/SA0........................Tested (0.0420289 s)
Current Fault: g64/SA1.........................Tested (0.0371105 s)
Current Fault: g64/SA0.........................Tested (0.0380704 s)
Current Fault: g73/SA1.........................Tested (0.0387288 s)
Current Fault: g73/SA0.........................Tested (0.0378878 s)
Current Fault: g5057/SA1.......................Tested (0.358303 s)
Current Fault: g5057/SA0.......................Tested (0.347899 s)
Current Fault: g2771/SA1.......................Tested (0.107209 s)
Current Fault: g2771/SA0.......................Tested (0.111332 s)
Current Fault: g1882/SA1.......................Tested (0.0791743 s)
Current Fault: g1882/SA0.......................Tested (0.0827053 s)
Current Fault: g6462/SA1.......................Tested (0.165275 s)
Current Fault: g6462/SA0.......................Tested (0.14532 s)
Current Fault: g2299/SA1.......................Tested (0.0726155 s)
Current Fault: g2299/SA0.......................Tested (0.0894795 s)
Current Fault: g4040/SA1.......................Tested (0.135081 s)
Current Fault: g4040/SA0.......................Tested (0.116509 s)
Current Fault: g2547/SA1.......................Tested (0.0778862 s)
Current Fault: g2547/SA0.......................Tested (0.0788564 s)
Current Fault: g559/SA1........................Tested (0.0666005 s)
Current Fault: g559/SA0........................Tested (0.0761865 s)
Current Fault: g3017/SA1.......................Tested (0.18282 s)
Current Fault: g3017/SA0.......................Tested (0.199588 s)
Current Fault: g3243/SA1.......................Tested (0.402108 s)
Current Fault: g3243/SA0.......................Tested (0.425903 s)
Current Fault: g452/SA1........................Tested (0.23129 s)
Current Fault: g452/SA0........................Tested (0.244553 s)
Current Fault: g464/SA1........................Tested (0.219075 s)
Current Fault: g464/SA0........................Tested (0.2291 s)
Current Fault: g3542/SA1.......................Tested (0.410926 s)
Current Fault: g3542/SA0.......................Tested (0.401963 s)
Current Fault: g5232/SA1.......................Tested (0.418167 s)
Current Fault: g5232/SA0.......................Tested (0.419754 s)
Current Fault: g5813/SA1.......................Tested (0.090058 s)
Current Fault: g5813/SA0.......................Tested (0.0684667 s)
Current Fault: g2907/SA1.......................Tested (0.517355 s)
Current Fault: g2907/SA0.......................Tested (0.509236 s)
Current Fault: g1744/SA1.......................Tested (0.321099 s)
Current Fault: g1744/SA0.......................Tested (0.294667 s)
Current Fault: g5909/SA1.......................Tested (0.087324 s)
Current Fault: g5909/SA0.......................Tested (0.0770068 s)
Current Fault: g1802/SA1.......................Tested (0.416877 s)
Current Fault: g1802/SA0.......................Tested (0.39361 s)
Current Fault: g3554/SA1.......................Tested (0.127441 s)
Current Fault: g3554/SA0.......................Tested (0.10796 s)
Current Fault: g6219/SA1.......................Tested (0.315519 s)
Current Fault: g6219/SA0.......................Tested (0.283733 s)
Current Fault: g807/SA1........................Tested (0.81233 s)
Current Fault: g807/SA0........................Tested (0.755978 s)
Current Fault: g6031/SA1.......................Tested (0.453516 s)
Current Fault: g6031/SA0.......................Tested (0.421062 s)
Current Fault: g847/SA1........................Tested (0.296244 s)
Current Fault: g847/SA0........................Tested (0.284415 s)
Current Fault: g976/SA1........................Tested (0.366107 s)
Current Fault: g976/SA0........................Tested (0.367008 s)
Current Fault: g4172/SA1.......................Tested (0.136286 s)
Current Fault: g4172/SA0.......................Tested (0.153024 s)
Current Fault: g4372/SA1.......................Tested (0.107616 s)
Current Fault: g4372/SA0.......................Tested (0.113952 s)
Current Fault: g3512/SA1.......................Tested (0.247676 s)
Current Fault: g3512/SA0.......................Tested (0.256381 s)
Current Fault: g749/SA1........................Tested (0.0745028 s)
Current Fault: g749/SA0........................Tested (0.0783319 s)
Current Fault: g3490/SA1.......................Tested (0.109364 s)
Current Fault: g3490/SA0.......................Tested (0.112527 s)
Current Fault: g6005/SA1.......................Tested (0.0359152 s)
Current Fault: g6005/SA0.......................Tested (0.0367348 s)
Current Fault: g4235/SA1.......................Tested (0.168936 s)
Current Fault: g4235/SA0.......................Tested (0.183972 s)
Current Fault: g1600/SA1.......................Tested (0.0716594 s)
Current Fault: g1600/SA0.......................Tested (0.0755801 s)
Current Fault: g1714/SA1.......................Tested (0.292175 s)
Current Fault: g1714/SA0.......................Tested (0.287298 s)
Current Fault: g3649/SA1.......................Tested (0.0376472 s)
Current Fault: g3649/SA0.......................Tested (0.0412025 s)
Current Fault: g3155/SA1.......................Tested (0.298407 s)
Current Fault: g3155/SA0.......................Tested (0.280985 s)
Current Fault: g3355/SA1.......................Tested (0.144615 s)
Current Fault: g3355/SA0.......................Tested (0.152195 s)
Current Fault: g2236/SA1.......................Tested (0.256756 s)
Current Fault: g2236/SA0.......................Tested (0.243832 s)
Current Fault: g4555/SA1.......................Tested (0.0730721 s)
Current Fault: g4555/SA0.......................Tested (0.0749391 s)
Current Fault: g3698/SA1.......................Tested (0.108551 s)
Current Fault: g3698/SA0.......................Tested (0.113584 s)
Current Fault: g6073/SA1.......................Tested (0.350231 s)
Current Fault: g6073/SA0.......................Tested (0.360732 s)
Current Fault: g1736/SA1.......................Tested (0.287736 s)
Current Fault: g1736/SA0.......................Tested (0.28715 s)
Current Fault: g1968/SA1.......................Tested (0.261591 s)
Current Fault: g1968/SA0.......................Tested (0.252375 s)
Current Fault: g4621/SA1.......................Tested (0.278864 s)
Current Fault: g4621/SA0.......................Tested (0.307797 s)
Current Fault: g5607/SA1.......................Tested (0.379278 s)
Current Fault: g5607/SA0.......................Tested (0.43678 s)
Current Fault: g2657/SA1.......................Tested (0.345187 s)
Current Fault: g2657/SA0.......................Tested (0.335629 s)
Current Fault: g5659/SA1.......................Tested (0.0410811 s)
Current Fault: g5659/SA0.......................Tested (0.037301 s)
Current Fault: g490/SA1........................Tested (0.326111 s)
Current Fault: g490/SA0........................Tested (0.329464 s)
Current Fault: g311/SA1........................Tested (0.223664 s)
Current Fault: g311/SA0........................Tested (0.209302 s)
Current Fault: g6069/SA1.......................Tested (0.149064 s)
Current Fault: g6069/SA0.......................Tested (0.151055 s)
Current Fault: g772/SA1........................Tested (0.081901 s)
Current Fault: g772/SA0........................Tested (0.0725819 s)
Current Fault: g5587/SA1.......................Tested (0.39338 s)
Current Fault: g5587/SA0.......................Tested (0.411578 s)
Current Fault: g6177/SA1.......................Tested (0.57485 s)
Current Fault: g6177/SA0.......................Tested (0.588415 s)
Current Fault: g6377/SA1.......................Tested (0.444773 s)
Current Fault: g6377/SA0.......................Tested (0.449648 s)
Current Fault: g3167/SA1.......................Tested (0.299076 s)
Current Fault: g3167/SA0.......................Tested (0.302537 s)
Current Fault: g5615/SA1.......................Tested (0.108357 s)
Current Fault: g5615/SA0.......................Tested (0.108992 s)
Current Fault: g4567/SA1.......................Tested (0.0772529 s)
Current Fault: g4567/SA0.......................Tested (0.0760091 s)
Current Fault: g3057/SA1.......................Tested (0.232279 s)
Current Fault: g3057/SA0.......................Tested (0.216321 s)
Current Fault: g3457/SA1.......................Tested (0.344419 s)
Current Fault: g3457/SA0.......................Tested (0.362367 s)
