Reading benchmark file: ./data/s820.bench
Benchmark Name: s820
INPUT: 23
NOT: 33
AND: 76
NAND: 54
OR: 60
NOR: 66
DFF: 5
STEM: 508
Total Gates: 825


Starting ATPG using PODEM ...

Current Fault: G0/SA1..........................Tested (0.00142304 s)
Current Fault: G0/SA0..........................Tested (0.00139407 s)
Current Fault: G1/SA1..........................Tested (0.00151173 s)
Current Fault: G1/SA0..........................Tested (0.00153743 s)
Current Fault: G2/SA1..........................Tested (0.00191233 s)
Current Fault: G2/SA0..........................Tested (0.00166157 s)
Current Fault: G3/SA1..........................Tested (0.00163223 s)
Current Fault: G3/SA0..........................Tested (0.00165881 s)
Current Fault: G4/SA1..........................Tested (0.001072 s)
Current Fault: G4/SA0..........................Tested (0.00101072 s)
Current Fault: G5/SA1..........................Tested (0.00102786 s)
Current Fault: G5/SA0..........................Tested (0.00102602 s)
Current Fault: G6/SA1..........................Tested (0.00205297 s)
Current Fault: G6/SA0..........................Tested (0.00206098 s)
Current Fault: G7/SA1..........................Tested (0.00205862 s)
Current Fault: G7/SA0..........................Tested (0.00202291 s)
Current Fault: G8/SA1..........................Tested (0.00203286 s)
Current Fault: G8/SA0..........................Tested (0.0021517 s)
Current Fault: G9/SA1..........................Tested (0.00217652 s)
Current Fault: G9/SA0..........................Tested (0.00208099 s)
Current Fault: G10/SA1.........................Tested (0.00191438 s)
Current Fault: G10/SA0.........................Tested (0.00191651 s)
Current Fault: G11/SA1.........................Tested (0.0019562 s)
Current Fault: G11/SA0.........................Tested (0.00202127 s)
Current Fault: G12/SA1.........................Tested (0.00201689 s)
Current Fault: G12/SA0.........................Tested (0.00201117 s)
Current Fault: G13/SA1.........................Tested (0.00162729 s)
Current Fault: G13/SA0.........................Tested (0.0015539 s)
Current Fault: G14/SA1.........................Tested (0.00120749 s)
Current Fault: G14/SA0.........................Tested (0.00119565 s)
Current Fault: G15/SA1.........................Tested (0.00121483 s)
Current Fault: G15/SA0.........................Tested (0.00125172 s)
Current Fault: G16/SA1.........................Tested (0.00120027 s)
Current Fault: G16/SA0.........................Tested (0.00119744 s)
Current Fault: G18/SA1.........................Tested (0.00119904 s)
Current Fault: G18/SA0.........................Tested (0.00123177 s)
Current Fault: G38/SA1.........................Tested (0.00142773 s)
Current Fault: G38/SA0.........................Tested (0.00154318 s)
Current Fault: G39/SA1.........................Tested (0.00111615 s)
Current Fault: G39/SA0.........................Tested (0.00110103 s)
Current Fault: G40/SA1.........................Tested (0.000878905 s)
Current Fault: G40/SA0.........................Tested (0.000871567 s)
Current Fault: G41/SA1.........................Tested (0.00141358 s)
Current Fault: G41/SA0.........................Tested (0.00137058 s)
Current Fault: G42/SA1.........................Tested (0.000869217 s)
Current Fault: G42/SA0.........................Tested (0.000894918 s)
Current Fault: G201/SA1........................Tested (0.001543 s)
Current Fault: G201/SA0........................Tested (0.00158014 s)
Current Fault: G245/SA1........................Tested (0.00147463 s)
Current Fault: G245/SA0........................Tested (0.00150749 s)
Current Fault: G323/SA1........................Tested (0.00154289 s)
Current Fault: G323/SA0........................Tested (0.00150938 s)
Current Fault: G181/SA1........................Tested (0.00182058 s)
Current Fault: G181/SA0........................Tested (0.00174569 s)
Current Fault: G256/SA1........................Tested (0.000699697 s)
Current Fault: G256/SA0........................Tested (0.00069471 s)
Current Fault: G130/SA1........................Tested (0.00105312 s)
Current Fault: G130/SA0........................Tested (0.00107163 s)
Current Fault: G203/SA1........................Tested (0.00232223 s)
Current Fault: G203/SA0........................Tested (0.00239026 s)
Current Fault: G202/SA1........................Tested (0.00241495 s)
Current Fault: G202/SA0........................Tested (0.00228086 s)
Current Fault: G112/SA1........................Tested (0.00228607 s)
Current Fault: G112/SA0........................Tested (0.00228119 s)
Current Fault: G198/SA1........................Tested (0.00210585 s)
Current Fault: G198/SA0........................Tested (0.00209642 s)
Current Fault: G204/SA1........................Tested (0.00236742 s)
Current Fault: G204/SA0........................Tested (0.00222996 s)
Current Fault: G171/SA1........................Tested (0.00230086 s)
Current Fault: G171/SA0........................Tested (0.00230603 s)
Current Fault: G172/SA1........................Tested (0.00214538 s)
Current Fault: G172/SA0........................Tested (0.00213891 s)
Current Fault: G126/SA1........................Tested (0.00198376 s)
Current Fault: G126/SA0........................Tested (0.00185622 s)
